character,comic_title,format,date,event
Absorbing Man,MARVEL SUPER HEROES SECRET WARS #6 FACSIMILE EDITION (2024) #6,Comic,2024-06-05 00:00:00+00:00,None
Absorbing Man,Marvel Super Heroes Secret Wars: Battleworld (2023) #4,Comic,2024-02-21 00:00:00+00:00,None
Absorbing Man,Marvel Super Heroes Secret Wars: Battleworld (2023) #3,Comic,2024-01-31 00:00:00+00:00,None
Absorbing Man,Marvel Super Heroes Secret Wars: Battleworld (2023) #2,Comic,2023-12-27 00:00:00+00:00,None
Absorbing Man,Sensational She-Hulk (2023) #1,Comic,2023-10-18 00:00:00+00:00,None
Absorbing Man,Gamma Flight (2021) #5,Comic,2021-10-13 00:00:00+00:00,None
Absorbing Man,Gamma Flight (2021) #4,Comic,2021-09-22 00:00:00+00:00,None
Absorbing Man,Gamma Flight (2021) #3,Comic,2021-08-18 00:00:00+00:00,None
Absorbing Man,Gamma Flight (2021) #2,Comic,2021-07-21 00:00:00+00:00,None
Absorbing Man,Gamma Flight (2021) #1,Comic,2021-06-23 00:00:00+00:00,None
Absorbing Man,Immortal Hulk Vol. 2: The Green Door (Trade Paperback),Trade Paperback,2019-02-13 00:00:00+00:00,None
Absorbing Man,Immortal Hulk (2018) #9,Comic,2018-11-21 00:00:00+00:00,None
Absorbing Man,Marvel Masterworks: The Avengers Vol. 18 (Trade Paperback),Trade Paperback,2018-04-11 00:00:00+00:00,None
Absorbing Man,Black Bolt Vol. 1: Hard Time (Trade Paperback),Trade Paperback,2018-03-21 00:00:00+00:00,None
Absorbing Man,Black Bolt (2017) #11,Comic,2018-03-07 00:00:00+00:00,None
Absorbing Man,Black Bolt (2017) #4,Comic,2017-08-02 00:00:00+00:00,None
Absorbing Man,Black Bolt (2017) #3,Comic,2017-07-05 00:00:00+00:00,None
Absorbing Man,Illuminati (2015) #7,Comic,2016-05-11 00:00:00+00:00,None
Absorbing Man,Illuminati (2015) #6,Comic,2016-04-13 00:00:00+00:00,None
Absorbing Man,Illuminati (2015) #5,Comic,2016-03-23 00:00:00+00:00,None
Absorbing Man,Illuminati (2015) #4,Comic,2016-02-10 00:00:00+00:00,None
Absorbing Man,Illuminati (2015) #3,Comic,2016-01-13 00:00:00+00:00,None
Absorbing Man,Illuminati (2015) #2,Comic,2015-12-16 00:00:00+00:00,None
Absorbing Man,Illuminati (2015) #1,Comic,2015-11-11 00:00:00+00:00,None
Absorbing Man,A+X (2012) #8,Comic,2013-05-22 00:00:00+00:00,None
Absorbing Man,Avengers Academy (2010) #19,Comic,2011-09-28 00:00:00+00:00,Fear Itself
Absorbing Man,Avengers Academy (2010) #18,Comic,2011-08-17 00:00:00+00:00,Fear Itself
Absorbing Man,Fear Itself: Fellowship of Fear (2011) #1,Comic,2011-08-10 00:00:00+00:00,None
Absorbing Man,Avengers Academy (2010) #17,Comic,2011-08-03 00:00:00+00:00,Fear Itself
Absorbing Man,Fear Itself (2010) #2 (3rd Printing Variant),Comic,2011-07-27 00:00:00+00:00,None
Absorbing Man,Fear Itself: The Worthy (2011) #1,Comic,2011-07-27 00:00:00+00:00,None
Absorbing Man,Avengers Academy (2010) #16,Comic,2011-07-20 00:00:00+00:00,Fear Itself
Absorbing Man,Marvel Masterworks: The Mighty Thor Vol. 3 (Trade Paperback),Trade Paperback,2011-06-29 00:00:00+00:00,None
Absorbing Man,Marvel Masterworks: The Mighty Thor Vol. 3 Variant (DM Only) (Trade Paperback),Trade Paperback,2011-06-29 00:00:00+00:00,None
Absorbing Man,Iron Man 2.0 (2011) #6,Comic,2011-06-22 00:00:00+00:00,Fear Itself
Absorbing Man,Fear Itself: The Worthy (2011) #7,Digital Comic,2011-06-08 00:00:00+00:00,None
Absorbing Man,Iron Man 2.0 (2011) #5,Comic,2011-05-25 00:00:00+00:00,Fear Itself
Absorbing Man,Thor by Walter Simonson (Hardcover),Hardcover,2011-03-02 00:00:00+00:00,None
Absorbing Man,Secret Warriors (2009) #12,Comic,2010-01-27 00:00:00+00:00,None
Absorbing Man,The Mighty Avengers (2007) #33,Comic,2010-01-20 00:00:00+00:00,Siege
Absorbing Man,The Mighty Avengers (2007) #32,Comic,2009-12-16 00:00:00+00:00,Siege
Absorbing Man,THOR VISIONARIES: WALTER SIMONSON (Trade Paperback),Trade Paperback,2008-02-06 00:00:00+00:00,None
Absorbing Man,PUNISHER WAR JOURNAL : CIVIL WAR (Trade Paperback),Trade Paperback,2007-09-05 00:00:00+00:00,Civil War
Absorbing Man,Paradise X Vol. 1 (Trade Paperback),Trade Paperback,2007-07-18 00:00:00+00:00,None
